id,name,desc,type,q
Rolf-Blomqvist_123,Rolf Blomqvist,"Rolf Oskar Vilhelm Blomqvist (born 1947-03-04) goalkeeper in IFK Göteborg, last season 1975",Q5,
Karl-Bohm_762,Karl Bohm,"Karl Fredrik Bohm (born 1995-08-24) IFK Göteborg player, last season 2015",Q5,Q16229664
Gösta-Bohman_124,Gösta Bohman,Rolf Gösta Alexius Bohman (born 1911-08-27) IFK Göteborg player stated in ifkdb.se,Q5,Q121160725
Darijan-Bojanic_763,Darijan Bojanic,"Darijan Bojanic (born 1994-12-28) midfielder in IFK Göteborg, last season 2014",Q5,Q5580980
Mikael-Boman_844,Mikael Boman,"Ernst Anders Mikael Boman (born 1988-07-14) attacker in IFK Göteborg, last season 2017",Q5,Q5581398
Hans-Bomb_125,Hans Bomb,Hans Lennart Bomb (born 1921-05-10) IFK Göteborg player stated in ifkdb.se,Q5,
David-Boo+Wiklander_726,Wiklander David Boo,"Nils David Casper Boo Wiklander (born 1984-10-03) IFK Göteborg player, last season 2018",Q5,Q5241069
Alfons-Borén_982,Alfons Borén,Alfons Borén (born 2006-09-13) IFK Göteborg player stated in ifkdb.se,Q5,
Georg-Borg_126,Georg Borg,Alfred Georg Borg (born 1913-03-09) IFK Göteborg player stated in ifkdb.se,Q5,Q121160726
Åke-Börjesson_138,Åke Börjesson,Åke Harald Börjesson (born 1940-02-21) IFK Göteborg player stated in ifkdb.se,Q5,
Erik-Börjesson_136,Erik Börjesson,Erik Oskar Börjesson (born 1886-12-01) IFK Göteborg player stated in ifkdb.se,Q5,Q351841
Reino-Börjesson_137,Reino Börjesson,Reino Erik Börjesson (born 1929-02-04) IFK Göteborg player stated in ifkdb.se,Q5,Q775980
Rolf-Borssén_127,Rolf Borssén,Rolf Anders Vilhelm Borssén (born 1895-10-22) IFK Göteborg player stated in ifkdb.se,Q5,Q138560385
Roberth-Börve_139,Roberth Börve,"Gert Roberth Börve (born 1972-10-11) attacker in IFK Göteborg, last season 1992",Q5,
Harry-Branting_128,Harry Branting,Harry Douglas Eugen Branting (born 1895-02-13) IFK Göteborg player stated in ifkdb.se,Q5,
Benjamin-Brantlind_976,Benjamin Brantlind,Benjamin Brantlind (born 2008-08-15) IFK Göteborg player stated in ifkdb.se,Q5,Q124734116
Tobias-Bratt_764,Tobias Bratt,"Tobias Sebastian Bratt (born 1993-03-19) defender in IFK Göteborg, last season 2012",Q5,Q15734556
Bror-Brink_129,Bror Brink,Bror Josef Andersson (Brink) (born 1892-09-26) IFK Göteborg player stated in ifkdb.se,Q5,Q121008396
Yngve-Brodd_130,Yngve Brodd,Rolf Yngve Brodd (born 1930-06-09) IFK Göteborg player stated in ifkdb.se,Q5,Q722121
Oliwer-Brodin_962,Oliwer Brodin,"Oliwer Niklas Brodin (born 2004-07-20) midfielder in IFK Göteborg, last season 2023",Q5,
Allan-Brufelt+(Andersson)_18,Allan Brufelt,Allan Isidor Brufelt (born 1927-02-25) IFK Göteborg player stated in ifkdb.se,Q5,Q121143380
Andreas-Brunbäck_131,Andreas Brunbäck,"Hans Andreas Brunbäck (born 1975-07-12) IFK Göteborg player, last season 1994",Q5,
