id,name,desc,type,url,wikidata
3385,"Lenty,","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3385&link=visa-data,
363,"Lernesjö, Jesper","Swedish association football player, played for BoIS, born 1995-09-11",Q5,https://boishistoria.se/visa-data/?what=spelare&id=363&link=visa-data,
524,"Leth Pedersen, Mark","Swedish association football player, played for BoIS, born 1989-08-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=524&link=visa-data,
28,"Levén, Allan ""Kleven""","Swedish association football player, played for BoIS, born 1920-03-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=28&link=visa-data,
406,"Levi, Jonathan","Swedish association football player, played for BoIS, born 1996-01-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=406&link=visa-data,
72,"Licina, Belvin","Swedish association football player, played for BoIS, born 1993-10-09",Q5,https://boishistoria.se/visa-data/?what=spelare&id=72&link=visa-data,
650,"Lind, Peter","Swedish association football player, played for BoIS, born 1968-01-30",Q5,https://boishistoria.se/visa-data/?what=spelare&id=650&link=visa-data,
313,"Lindberg, Herbert","Swedish association football player, played for BoIS, born 1903-10-27",Q5,https://boishistoria.se/visa-data/?what=spelare&id=313&link=visa-data,
351,"Lindberg, Jan ""Tjola""","Swedish association football player, played for BoIS, born 1939-04-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=351&link=visa-data,
542,"Lindberg, Mats","Swedish association football player, played for BoIS, born 1962-05-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=542&link=visa-data,
592,"Lindberg, Nils","Swedish association football player, played for BoIS, born 1906-03-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=592&link=visa-data,
713,"Lindberg, Sigfrid ""Sigge""","Swedish association football player, played for BoIS, born 1897-03-26",Q5,https://boishistoria.se/visa-data/?what=spelare&id=713&link=visa-data,
751,"Lindberg, Sture","Swedish association football player, played for BoIS, born 1899-04-20",Q5,https://boishistoria.se/visa-data/?what=spelare&id=751&link=visa-data,
754,"Lindberg, Sune","Swedish association football player, played for BoIS, born 1934-03-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=754&link=visa-data,
798,"Lindberg, Tore","Swedish association football player, played for BoIS, born 1897-03-20",Q5,https://boishistoria.se/visa-data/?what=spelare&id=798&link=visa-data,
89,"Lindblad, Bertil","Swedish association football player, played for BoIS, born 1931-07-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=89&link=visa-data,
543,"Lindblad, Mats","Swedish association football player, played for BoIS, born 1967-03-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=543&link=visa-data,
3766,"Lindeberg, Linus","Swedish association football player, played for BoIS, born 2007-01-01",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3766&link=visa-data,
90,"Lindell, Bertil","Swedish association football player, played for BoIS, born 1941-04-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=90&link=visa-data,
3576,"Lindell, Carl","Swedish association football player, played for BoIS, born 1991-09-12",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3576&link=visa-data,
193,"Linder, Erik","Swedish association football player, played for BoIS, born 1903-12-23",Q5,https://boishistoria.se/visa-data/?what=spelare&id=193&link=visa-data,
299,"Linder, Henning","Swedish association football player, played for BoIS, born 1905-11-08",Q5,https://boishistoria.se/visa-data/?what=spelare&id=299&link=visa-data,
3486,"Linderoth, Anders","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3486&link=visa-data,
227,"Lindfors, Fritz ""Frille""","Swedish association football player, played for BoIS, born 1895-04-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=227&link=visa-data,
3490,"Lindfors, Fritz","Swedish association football player, played for BoIS, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3490&link=visa-data,
81,"Lindgren, Bernt","Swedish association football player, played for BoIS, born 1949-02-10",Q5,https://boishistoria.se/visa-data/?what=spelare&id=81&link=visa-data,
136,"Lindgren, Christer ""Huggarn""","Swedish association football player, played for BoIS, born 1947-01-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=136&link=visa-data,
416,"Lindgren, Kalle","Swedish association football player, played for BoIS, born 1980-04-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=416&link=visa-data,
491,"Lindgren, Lennart","Swedish association football player, played for BoIS, born 1897-12-20",Q5,https://boishistoria.se/visa-data/?what=spelare&id=491&link=visa-data,
508,"Lindgren, Magnus","Swedish association football player, played for BoIS, born 1971-08-06",Q5,https://boishistoria.se/visa-data/?what=spelare&id=508&link=visa-data,
668,"Lindgren, Rasmus","Swedish association football player, played for BoIS, born 1984-11-29",Q5,https://boishistoria.se/visa-data/?what=spelare&id=668&link=visa-data,
289,"Lindh, Harry","Swedish association football player, played for BoIS, born 1924-10-19",Q5,https://boishistoria.se/visa-data/?what=spelare&id=289&link=visa-data,
