id,name,desc,type,q
Fredrik-Bryngelsson_134,Fredrik Bryngelsson,"IFK Göteborg-spelare, sista säsong 1994",Q5,Q3752816
Peter-Caban_140,Peter Caban,"mittfältare i IFK Göteborg, sista säsong 1991",Q5,Q133565966
André-Calisir_884,André Calisir,"mittfältare i IFK Göteborg, sista säsong 2020",Q5,Q4759847
Diego-Calvo_766,Diego Calvo,"IFK Göteborg-spelare, sista säsong 2014",Q5,Q3707147
Benny-Canefur_153,Benny Canefur,"anfallare i IFK Göteborg, sista säsong 1980",Q5,
Sören-Canefur_141,Sören Canefur,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Adam-Carlén_958,Adam Carlén,"mittfältare i IFK Göteborg, sista säsong 2025",Q5,Q69043930
Ulf-Carlgren_142,Ulf Carlgren,"försvarare i IFK Göteborg, sista säsong 1985",Q5,Q132860604
Alexander-Carlsson_1011,Alexander Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Algot-Carlsson_143,Algot Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160727
Bengt-Carlsson_144,Bengt Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Bror-Carlsson_145,Bror Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q15905726
Erik-Carlsson_146,Erik Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Jan-Carlsson_147,Jan Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Jerry-Carlsson_148,Jerry Carlsson,"mittfältare i IFK Göteborg, sista säsong 1987",Q5,Q5603214
John-Carlsson_378,John Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Lennart-Carlsson_381,Lennart Carlsson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Mats-Ola-Carlsson_150,Mats-Ola Carlsson,"mittfältare i IFK Göteborg, sista säsong 1988",Q5,Q63609798
Nicklas-Carlsson_767,Nicklas Carlsson,"mittfältare i IFK Göteborg, sista säsong 2010",Q5,Q473045
Jan-Carlstedt+(Johansson)_329,Jan Carlstedt,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Linus-Carlstrand_946,Linus Carlstrand,"anfallare i IFK Göteborg, sista säsong 2025",Q5,Q112767025
Viktor-Carlund_1003,Viktor Carlund,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Hussein-Carneil_941,Hussein Carneil,"anfallare i IFK Göteborg, sista säsong 2025",Q5,Q111306648
Kim-Christensen_768,Kim Christensen,"målvakt i IFK Göteborg, sista säsong 2010",Q5,Q973969
Rolf-Christensson_398,Rolf Christensson,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q121160766
Tage-Christoffersson_155,Tage Christoffersson,"målvakt i IFK Göteborg, sista säsong 1979",Q5,
Leif-Claesson_156,Leif Claesson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Rickard-Claesson_157,Rickard Claesson,"målvakt i IFK Göteborg, sista säsong 2004",Q5,Q2151652
Rune-Claesson_158,Rune Claesson,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Sebastian-Clemmensen_999,Sebastian Clemmensen,IFK Göteborg-spelare enligt ifkdb.se,Q5,Q130741333
Tiago-Coimbra_1010,Tiago Coimbra,IFK Göteborg-spelare enligt ifkdb.se,Q5,
Dan-Corneliusson_159,Dan Corneliusson,"anfallare i IFK Göteborg, sista säsong 1983",Q5,Q571153
Martín-Crossa_160,Martín Crossa,"anfallare i IFK Göteborg, sista säsong 2003",Q5,Q590651
Patrick-Cruz_848,Patrick Cruz,"anfallare i IFK Göteborg, sista säsong 2015",Q5,Q26706897
Kristopher-Da+Graca_870,Graca Kristopher Da,"IFK Göteborg-spelare, sista säsong 2020",Q5,Q37012827
