id	name	description
824	Jos Hooiveld	Back, aktiv 2009-2017, matcher 74
1312	Josafat "Joe" Mendes	Back, aktiv 2015-2023, matcher 46
207	Josef "Jocke" Ekholm	Högerback, aktiv 1918-1932, matcher 40
211	Justus Gustafsson	Vänsterback, aktiv 1917-1930, matcher 133
565	Jyrki Nieminen	Forward, aktiv 1979-1984, matcher 149
972	Karl "Kalle" Ansén	, aktiv ? - ?, matcher 87
82	Karl "Kalle Kula" Corneliusson	Högerback, aktiv 1999-2003, matcher 159
678	Karl "Timpa" Simonsson	, aktiv ? - ?, matcher 1
620	Karl "Kalle" Ståhl	Mittback, aktiv 1990-1994, matcher 8
1257	Karol Mets	Back, aktiv 2019-2020, matcher 63
828	Kennedy Igboananike	Forward, aktiv 2012-2014, matcher 84
12	Kenny Pavey	Höger mittfältare, aktiv 2006-2015, matcher 240
758	Kevin Walker	Mittfältare, aktiv 2007-2011, matcher 58
71	Khari Stephenson	Mittfältare, aktiv 2007-2008, matcher 54
592	Kim Bergstrand	Forward, aktiv 1983-1994, matcher 181
585	Kjell Jonevret	Forward, aktiv 1984-1985, matcher 30
1109	Knut "Knutte" Nilsson	, aktiv 1902-1923, matcher 82
1265	Kolbeinn Sigþórsson	Forward, aktiv 2019-2021, matcher 46
59	Krister "Krille" Nordin	Mittfältare, aktiv 1992-2004, matcher 339
7	Kristian Haynes	Forward, aktiv 2005-2007, matcher 63
36	Kristoffer Arvhage	Back, aktiv 2004-2005, matcher 33
1042	Kristoffer Nordfeldt	Målvakt, aktiv 2021- ?, matcher 78
1208	Kristoffer "Koffe" Olsson	Mittfältare, aktiv 2017-2019, matcher 69
422	Kurt "Kurre" Andersson	Högerytter, aktiv 1957-1971, matcher 149
401	Kurt "Kurre" Hamrin	Högerytter, aktiv 1949-1956, matcher 72
390	Kurt "Kurre" Liander	Vänsterytter, aktiv 1949-1990, matcher 101
77	Kwame "Caniggia" Quansah	Forward, aktiv 2003-2003, matcher 30
75	Kweku "Stone" Turkson	Innermittfältare, aktiv 2003-2003, matcher 6
1065	Lalawelé "Lala" Atakora	Mittfältare, aktiv 2011-2015, matcher 63
1464	Lamine Dabo	Mittfältare, aktiv 2023- ?, matcher 3
395	Lars "Råttan" Boman	Vänsterytter, aktiv 1948-1953, matcher 2
417	Lars Hedén	Vänsterinner, aktiv 1955-1957, matcher 10
389	Lars Larsson	Vänsterhalv, aktiv 1950-1955, matcher 30
452	Lars Sjöström	Forward, aktiv 1964-1965, matcher 21
581	Lars "Larsa, Z" Zetterlund	Mittfältare, aktiv 1982-1986, matcher 124
644	Lee Baxter	Målvakt, aktiv 1998-2015, matcher 24
470	Leif Hult	Målvakt, aktiv 1967-1969, matcher 54
447	Leif Iwarsson	Högerytter, aktiv 1963-1963, matcher 2
561	Leif "Lidde" Lindén	Ytterback, aktiv 1976-1982, matcher 72
609	Leif Olsson	Mittfältare, aktiv 1990-1991, matcher 14
411	Leif "Leffe" Skiöld	Högerinner, aktiv 1954-1959, matcher 93
363	Lennart "Pluntan" Askinger	Vänsterback, aktiv 1946-1955, matcher 95
427	Lennart Backman	Yttermittfältare, aktiv 1959-1967, matcher 236
332	Lennart Carlsson	Back, aktiv 1947-1959, matcher 209
331	Lennart Carlsson-Askerlund	Högerinner, aktiv 1942-1944, matcher 51
440	Lennart Hemming	, aktiv ? - ?, matcher 158
357	Lennart "Derby" Pettersson	Högerinner, aktiv 1946-1950, matcher 74
431	Lennart "Liston" Söderberg	Högerback, aktiv 1950-1970, matcher 116
1423	Lucas Forsberg	Högerback, aktiv 2021-2023, matcher 11
669	Lucas Valdemarín	Forward, aktiv 2007-2008, matcher 34
87	Luke "Shaggy" Casserly	Innermittfältare, aktiv 2000-2002, matcher 86
1249	Magnar Ødegaard	Mittback, aktiv 2019-2019, matcher 5
37	Magnus Eriksson	Forward, aktiv 2006-2008, matcher 7
611	Magnus Hedman	Målvakt, aktiv 1987-1997, matcher 159
78	Mani Tourang	Forward, aktiv 2001-2004, matcher 9
604	Marco Ciardi	Vänster mittfältare, aktiv 1989-1996, matcher 90
647	Marino "Marre" Rahmberg	Forward, aktiv 1998-1999, matcher 46
1180	Marko Nikolić	Forward, aktiv 2014-2017, matcher 34
17	Markus "Mr 100%" Jonsson	Högerback, aktiv 2006-2009, matcher 132
