id,name,desc,type,url
785,Ammar Ahmed,"Swedish association football player, played for AIK, Mittfältare, active ? -2007",Q5,https://www.aikstats.se/player.php?id=785
793,Peter Ericsson,"Swedish association football player, played for AIK, Lagledare, active 2005-2010",Q5,https://www.aikstats.se/player.php?id=793
903,Joel Perovuo,"Swedish association football player, played for AIK, Innermittfältare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=903
1458,André Esper,"Swedish association football player, played for AIK, Back, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1458
1074,Philip Aremu,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1074
802,Bertil Sandström,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=802
1539,Håkan Sjöberg,"Swedish association football player, played for AIK, Materialförvaltare, active 2017- ?",Q5,https://www.aikstats.se/player.php?id=1539
919,Mats Gustavsson,"Swedish association football player, played for AIK, , active ? -2010",Q5,https://www.aikstats.se/player.php?id=919
1091,Lars Ekholmer,"Swedish association football player, played for AIK, Styrelsemedlem, AIK Fotboll AB, active 2012-2013",Q5,https://www.aikstats.se/player.php?id=1091
938,Simon Lundgren,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=938
1108,Uchenna Ike,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1108
85,Kristoffer Alfredsson,"Swedish association football player, played for AIK, Målvakt, active 2003-2003",Q5,https://www.aikstats.se/player.php?id=85
1118,Birger Nilsson,"Swedish association football player, played for AIK, , active 1928-1941",Q5,https://www.aikstats.se/player.php?id=1118
1166,Obren Čučković,"Swedish association football player, played for AIK, Målvakt, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1166
955,Petter Hansson,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=955
1127,David Ehlton,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1127
1352,Nicolaus Elfström,"Swedish association football player, played for AIK, Mittfältare, active ? -2018",Q5,https://www.aikstats.se/player.php?id=1352
963,Henrik Rydström,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=963
1190,Henrik Jurelius,"Swedish association football player, played for AIK, Koordinator, active 2010-2022",Q5,https://www.aikstats.se/player.php?id=1190
1368,István Wampetits,"Swedish association football player, played for AIK, Tränare, active 1945-1948",Q5,https://www.aikstats.se/player.php?id=1368
1376,Lars-Oscar Nilsson,"Swedish association football player, played for AIK, Tränare, active 1976-1976",Q5,https://www.aikstats.se/player.php?id=1376
1392,Anders Hamberg,"Swedish association football player, played for AIK, Forward, active 2001-2012",Q5,https://www.aikstats.se/player.php?id=1392
1006,Mikael Hagman,"Swedish association football player, played for AIK, Styrelsemedlem, active 2006- ?",Q5,https://www.aikstats.se/player.php?id=1006
817,David Wilson,"Swedish association football player, played for AIK, Tränare, active ? - ?",Q5,https://www.aikstats.se/player.php?id=817
1014,Jimmy Wallingstam,"Swedish association football player, played for AIK, , active 2000-2002",Q5,https://www.aikstats.se/player.php?id=1014
1234,"Leonardo ""Leo"" Garroz","Swedish association football player, played for AIK, Forward, active 2014-2019",Q5,https://www.aikstats.se/player.php?id=1234
825,Per Bystedt,"Swedish association football player, played for AIK, Styrelseordförande, active 2004-2010",Q5,https://www.aikstats.se/player.php?id=825
1027,Victor Capel,"Swedish association football player, played for AIK, , active ? - ?",Q5,https://www.aikstats.se/player.php?id=1027
839,Annela Yderberg,"Swedish association football player, played for AIK, VD, active 2008-2012",Q5,https://www.aikstats.se/player.php?id=839
1035,Oskar Andersson,"Swedish association football player, played for AIK, Mittback, active ? - ?",Q5,https://www.aikstats.se/player.php?id=1035
762,Olle Nordin,"Swedish association football player, played for AIK, Tränare, active 2001-2002",Q5,https://www.aikstats.se/player.php?id=762
847,Luis Oyarzo,"Swedish association football player, played for AIK, Naprapat, active 2009-2021",Q5,https://www.aikstats.se/player.php?id=847
