item,QID,label,ifkdb,svwiki,ifkdb_wikipedia,ifk_title,wd_title,status,match
http://www.wikidata.org/entity/Q722121,Q722121,Yngve Brodd,https://ifkdb.se/spelare/Yngve-Brodd_130,https://sv.wikipedia.org/wiki/Yngve_Brodd,https://sv.wikipedia.org/wiki/Yngve_Brodd,Yngve Brodd,Yngve Brodd,match,True
http://www.wikidata.org/entity/Q722639,Q722639,"Herbert ""Murren"" Carlsson",https://ifkdb.se/spelare/Herbert-Karlsson_376,https://sv.wikipedia.org/wiki/Herbert_%22Murren%22_Carlsson,https://sv.wikipedia.org/wiki/Herbert_Carlsson,Herbert Carlsson,"Herbert ""Murren"" Carlsson",match,False
http://www.wikidata.org/entity/Q722800,Q722800,Owe Ohlsson,https://ifkdb.se/spelare/Owe-Ohlsson_541,https://sv.wikipedia.org/wiki/Owe_Ohlsson,https://sv.wikipedia.org/wiki/Owe_Ohlsson,Owe Ohlsson,Owe Ohlsson,match,True
http://www.wikidata.org/entity/Q689331,Q689331,Johnny Ekström,https://ifkdb.se/spelare/Johnny-Ekström_181,https://sv.wikipedia.org/wiki/Johnny_Ekstr%C3%B6m,https://sv.wikipedia.org/wiki/Johnny_Ekstr%C3%B6m,Johnny Ekström,Johnny Ekström,match,True
http://www.wikidata.org/entity/Q703399,Q703399,Stefan Rehn,https://ifkdb.se/spelare/Stefan-Rehn_603,https://sv.wikipedia.org/wiki/Stefan_Rehn,https://sv.wikipedia.org/wiki/Stefan_Rehn,Stefan Rehn,Stefan Rehn,match,True
http://www.wikidata.org/entity/Q703994,Q703994,Mathias Ranégie,https://ifkdb.se/spelare/Mathias-Ranégie_813,https://sv.wikipedia.org/wiki/Mathias_Ran%C3%A9gie,https://sv.wikipedia.org/wiki/Mathias_Ran%C3%A9gie,Mathias Ranégie,Mathias Ranégie,match,True
http://www.wikidata.org/entity/Q706191,Q706191,Karl Svensson,https://ifkdb.se/spelare/Karl-Svensson_667,https://sv.wikipedia.org/wiki/Karl_Svensson,https://sv.wikipedia.org/wiki/Karl_Svensson,Karl Svensson,Karl Svensson,match,True
http://www.wikidata.org/entity/Q719532,Q719532,Ali Gerba,https://ifkdb.se/spelare/Ali-Gerba_781,https://sv.wikipedia.org/wiki/Ali_Gerba,https://sv.wikipedia.org/wiki/Ali_Gerba,Ali Gerba,Ali Gerba,match,True
http://www.wikidata.org/entity/Q3856113,Q3856113,Konrad Törnqvist,https://ifkdb.se/spelare/Konrad-Törnqvist_699,https://sv.wikipedia.org/wiki/Konrad_T%C3%B6rnqvist,https://sv.wikipedia.org/wiki/Konrad_T%C3%B6rnqvist,Konrad Törnqvist,Konrad Törnqvist,match,True
http://www.wikidata.org/entity/Q3953710,Q3953710,Sebastian Henriksson,https://ifkdb.se/spelare/Sebastian-Henriksson_268,https://sv.wikipedia.org/wiki/Sebastian_Henriksson,https://sv.wikipedia.org/wiki/Sebastian_Henriksson,Sebastian Henriksson,Sebastian Henriksson,match,True
http://www.wikidata.org/entity/Q4125064,Q4125064,Jonathan Azulay,https://ifkdb.se/spelare/Jonathan-Azulay_755,https://sv.wikipedia.org/wiki/Jonathan_Azulay,https://sv.wikipedia.org/wiki/Jonathan_Azulay,Jonathan Azulay,Jonathan Azulay,match,True
http://www.wikidata.org/entity/Q4243428,Q4243428,Christian Kouakou,https://ifkdb.se/spelare/Christian-Kouakou_919,https://sv.wikipedia.org/wiki/Christian_Kouakou,https://sv.wikipedia.org/wiki/Christian_Kouakou,Christian Kouakou,Christian Kouakou,match,True
http://www.wikidata.org/entity/Q4566026,Q4566026,Ole Söderberg,https://ifkdb.se/spelare/Ole-Söderberg_926,https://sv.wikipedia.org/wiki/Ole_S%C3%B6derberg,https://sv.wikipedia.org/wiki/Ole_S%C3%B6derberg,Ole Söderberg,Ole Söderberg,match,True
http://www.wikidata.org/entity/Q4718827,Q4718827,Alexander Faltsetas,https://ifkdb.se/spelare/Alexander-Faltsetas_779,https://sv.wikipedia.org/wiki/Alexander_Faltsetas,https://sv.wikipedia.org/wiki/Alexander_Faltsetas,Alexander Faltsetas,Alexander Faltsetas,match,True
http://www.wikidata.org/entity/Q4753938,Q4753938,Anders Trondsen,https://ifkdb.se/spelare/Anders-Trondsen_412,https://sv.wikipedia.org/wiki/Anders_Trondsen,https://no.wikipedia.org/wiki/Anders_Trondsen,Anders Trondsen,Anders Trondsen,match,True
