id,name,desc
lars-brostrom,Lars Broström,"football centerhalv (born 1931), Djurgårdens IF player 1964–1965"
arne-bryngelsson,Arne Bryngelsson,"football anfallare (born 1915), Djurgårdens IF player 1945–1946"
dan-brzokoupil,Dan Brzokoupil,"football ytter (born 1947), Djurgårdens IF player 1970–1971"
per-kristian-pk-bratveit,Per Kristian Bråtveit,"football målvakt (born 1996), Djurgårdens IF player 1919–2019"
dan-burlin,Dan Burlin,"football Moderklubb: (born 1980), Djurgårdens IF player 1980–2009"
ken-burvall,Ken Burvall,"football mittfältare (born 1966), Djurgårdens IF player 1992–1993"
anders-byren,Anders Byrén,"football mittfältare (born 1965), Djurgårdens IF player 1965–1985"
ake-backstrom,Åke Bäckström,"football högerytter (born 1919), Djurgårdens IF player 1919–1943"
nicklas-barkroth,Nicklas Bärkroth,"football anfallare (born 1992), Djurgårdens IF player 2020–2021"
stefan-barlin,Stefan Bärlin,"football anfallare (born 1976), Djurgårdens IF player 2001–2002"
soren-borjesson,Sören Börjesson,"football mittfältare (born 1956), Djurgårdens IF player 1986–1987"
andre-calisir,André Calisir,"football försvarare (born 1990), Djurgårdens IF player 2010–2011"
enrico-cardoso-nazare,Enrico Cardoso Nazaré,"football mittfältare (born 1984), Djurgårdens IF player 2007–2008"
steve-cardwell,Steve Cardwell,"football back (born 1950), Djurgårdens IF player 1950–1976"
bjorn-carlsson,"Björn (fotboll) Carlsson, Björn (ishockey) Carlsson, Daniel Carlsson","football anfallare (born 1953), Djurgårdens IF player 1977–1978"
gustav-carlsson,Gustav Carlsson,"football målvakt (born 1915), Djurgårdens IF player 1941–1942"
nils-carlsson,Nils Carlsson,"football forward (born 1943), Djurgårdens IF player 1943–1969"
pia-carlsson,Pia Carlsson,"football forward (born 1966), Djurgårdens IF player 1991–1992"
stig-carlsson,Stig Carlsson,"football vänsterhalv (born 1920), Djurgårdens IF player 1949–1950"
thomas-carlsson,Thomas Carlsson,"football back (born 1946), Djurgårdens IF player 1973–1974"
roger-casslind,Roger Casslind,"football försvarare (born 1958), Djurgårdens IF player 1986–1987"
nils-cederborg,Nils Cederborg,"football anfallare (born 1925), Djurgårdens IF player 1950–1951"
axel-cederlof,Axel Cederlöf,football player (born 1875)
par-cederqvist,Pär Cederqvist,"football anfallare (born 1980), Djurgårdens IF player 2003–2004"
joseph-ceesay,Joseph Ceesay,"football mittfältare (born 1998), Djurgårdens IF player 2017–2018"
kebba-ceesay,Kebba Ceesay,"football försvarare (born 1987), Djurgårdens IF player 2012–2016"
louay-lolo-chanko,Louay Chanko,"football mittfältare (born 1979), Djurgårdens IF player 2001–2002"
james-chick-charnley,James Charnley,"football mittfältare (born 1963), Djurgårdens IF player 1963–1993"
yussif-chibsah,Yussif Chibsah,"football Moderklubb: (born 1983), Djurgårdens IF player 2013–2014"
edward-chilufya,Edward Chilufya,"football anfallare (born 1999), Djurgårdens IF player 2020–2021"
jan-chmelar,Jan Chmelar,"football back (born 1981), Djurgårdens IF player 1999–2000"
claes-christiernsson,Claes Christiernsson,football player (born 1938)
nils-christiernsson,Nils Christiernsson,football player (born 1943)
patricio-cisternas,Patricio Cisternas,"football försvarare (born 1969), Djurgårdens IF player 1998–1999"
jan-claesson,Jan Claesson,"football forward (born 1958), Djurgårdens IF player 1983–1984"
jonas-claesson,Jonas Claesson,"football försvarare/mittfältare (born 1967), Djurgårdens IF player 1991–1993"
leif-claesson,Leif Claesson,"football anfallare (born 1940), Djurgårdens IF player 1969–1970"
omar-colley,Omar Colley,"football mittback (born 1992), Djurgårdens IF player 2015–2016"
matias-concha,Matias Concha,"football högerback (born 1980), Djurgårdens IF player 2006–2007"
leo-cornic,Leo Cornic,"football ytterback (born 2001), Djurgårdens IF player 2021–2022"
aziz-corr-nyang,Aziz Corr Nyang,"football anfallare (born 1984), Djurgårdens IF player 2003–2004"
claes-cronqvist,Claes Cronqvist,"football försvarare (born 1944), Djurgårdens IF player 1969–1970"
kjell-cronqvist,Kjell Cronqvist,"football målvakt (born 1920), Djurgårdens IF player 1951–1952"
ivica-cvitkusic,Ivica Cvitkusic,"football försvarare (born 1961), Djurgårdens IF player 1961–1992"
mariusz-czerkawski,Mariusz Czerkawski,"football forward (born 1972), Djurgårdens IF player 1993–2004"
pablo-da-silva-rosa,Pablo da Silva Rosa,"football mittfältare (born 1994), Djurgårdens IF player 1994–2013"
lennart-dahlberg,Lennart Dahlberg,"football back (born 1962), Djurgårdens IF player 1962–1981"
mikael-dahlberg,Mikael Dahlberg,"football anfallare (born 1985), Djurgårdens IF player 2008–2009"
andreas-dahlen,Andreas Dahlén,"football vänsterback (born 1982), Djurgårdens IF player 1982–2012"
