id,name,desc,type,url,wikidata
484,Lennart Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1947-11-10",Q5,https://boishistoria.se/visa-data/?what=spelare&id=484&link=visa-data,
516,Marcus Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1980-09-15",Q5,https://boishistoria.se/visa-data/?what=spelare&id=516&link=visa-data,
555,Mikael Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1956-07-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=555&link=visa-data,
114,Mikael Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1981-12-05",Q5,,Q5570306
617,Ove Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1935-07-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=617&link=visa-data,
692,Rolf Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1939-05-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=692&link=visa-data,
723,Stefan Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1961-05-17",Q5,https://boishistoria.se/visa-data/?what=spelare&id=723&link=visa-data,
762,Sylve Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1958-06-18",Q5,https://boishistoria.se/visa-data/?what=spelare&id=762&link=visa-data,
783,Tommy Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1959-04-14",Q5,https://boishistoria.se/visa-data/?what=spelare&id=783&link=visa-data,
821,Åke Bengtsson,"Swedish association football player, played for BoIS, active ?, born 1926-09-07",Q5,https://boishistoria.se/visa-data/?what=spelare&id=821&link=visa-data,
424,Kenneth Berg,"Swedish association football player, played for BoIS, active ?, born 1944-01-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=424&link=visa-data,Q132767654
735,Sten Berg,"Swedish association football player, played for BoIS, active ?, born 1898-08-31",Q5,https://boishistoria.se/visa-data/?what=spelare&id=735&link=visa-data,
208,Esbjörn Berghult,"Swedish association football player, played for BoIS, active ?, born 1971-09-16",Q5,https://boishistoria.se/visa-data/?what=spelare&id=208&link=visa-data,
612,Oskar Bergman,"Swedish association football player, played for BoIS, active ?, born 1934-04-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=612&link=visa-data,
616,Otto Bergman,"Swedish association football player, played for BoIS, active ?, born 1919-09-10",Q5,https://boishistoria.se/visa-data/?what=spelare&id=616&link=visa-data,
240,Gunnar Bergsten,"Swedish association football player, played for BoIS, active ?, born 1910-02-28",Q5,https://boishistoria.se/visa-data/?what=spelare&id=240&link=visa-data,Q124827435
447,Kurt Bergsten,"Swedish association football player, played for BoIS, active ?, born 1912-06-24",Q5,https://boishistoria.se/visa-data/?what=spelare&id=447&link=visa-data,
3465,Adonis Berisha,"Swedish association football player, played for BoIS, active ?, born None",Q5,https://boishistoria.se/visa-data/?what=spelare&id=3465&link=visa-data,
