id,name,desc
225596382,Tore Andersson,Tore Axel Alexander Andersson Född: 9 januari 1929 Ishockeyspelare Position: back Moderklubb: Säsonger Matcher Mål Assist Poäng 1949/50 – – – –
225596383,Åke Andersson,Åke Ragnar Andersson Född: 18 augusti 1906 Fotbollsspelare Position: Moderklubb: 1 säsong. 8 matcher. 2 mål. 1927/1928 8 2
225596384,Folke Andersson-Arsjö,Folke Anders son-Arsjö Född: 19 februari 1903 Ishockeyspelare Position: forward Moderklubb: Säsonger Matcher Mål Assist Poäng 1922/23 – – – – 1923/24 – – – – 1924/25 – – – – 1925/26 – – – – 1926/27 – – – – 1927/28 – – – – 1928/29 – – – – 1929/30 – – 
225596385,Knut Andersson-Karsbrink,Knut Andersson-Karsbrink Född: 3 juli 1902 Ishockeyspelare Position: forward Moderklubb: Säsonger Matcher Mål Assist Poäng 1929/30 – – – –
225596386,Christer Andersson-Mossberg,Christer Andersson-Mossberg Född: 15 februari 1939 Bandyspelare 6 säsonger. 1961 1962 1963 1964 1965 1966
225596387,Ivar André,Ivar Gustaf Harry André Född: 16 februari 1905 Fotbollsspelare Moderklubb: 1 säsong. 1 match. 1 mål. 1927/28 1 0
225596388,Anders Andrén,Anders Andrén Född: 11 juli 1945 Ishockeyspelare Position: forward Moderklubb: Säsonger Matcher Mål Assist Poäng 1962/63 – 1 – – 1963/64 – 0 0 0 1964/65 10 – – – 1967/68 9 3 0 3 1968/69 17 6 4 10 1969/70 16 1 4 5 1970/71 7 1 0 1
225596389,Rune Andrén,Nils Rune Andrén Född: 3 april 1950 Ishockeyspelare Position: forward Moderklubb: Säsonger Matcher Mål Assist Poäng 1968/69 – – – – 1969/70 – – – – 1970/71 – – – –
225596390,Vytautas Andriuskevicius,Vytautas Andriuskevicius Född: 8 oktober 1990 Fotbollsspelare Position: försvarare Moderklubb: FBK Kaunas 2 säsonger. 31 matcher. 0 mål. 2013 16 0 2014 15 0
225596391,Niklas Anger,Claes Niklas Folke Anger Född: 14 juli 1977 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1968/69 – – – – 1969/70 – – – – 1970/71 – – – –
225596392,Göran Aral,Göran Timur Aral Född: 3 juli 1953 Fotbollsspelare Position: försvarare Moderklubb: Djurgårdens IF 1 säsong. 1 match. 0 mål. 1975 1 0
225596393,Kari Arnason,Kari Arnason Född: 13 oktober 1982 Fotbollsspelare Position: mittfältare Moderklubb: Vikingur Reykjavik (Island) 2 säsonger. 35 matcher.0 mål. 2005 21 0 SM-guld. Cupguld. 2006 14 0
225596394,Johan Arneng,Bo Johan Peter Arneng Född: 14 juni 1979 Fotbollsspelare Position: mittfältare Moderklubb: IK Oddevold 5 säsonger. 113 matcher. 9 mål. 2003 23 2 SM-guld. 2004 25 3 Cupguld. 2005 24 3 SM-guld. Cupguld. 2006 19 0 2007 22 1
225596395,Lars Arnesson,Lars Arne Emanuel Arnesson Född: 20 februari 1936 Fotbollsspelare Position: back Moderklubb: Sandvikens IF 5 säsonger. 93 matcher. 1 mål. 1960 14 1 1961 17 0 1962 22 0 1963 17 0 1964 23 0 SM-guld. Bandyspelare 5 säsonger. 1961 1962 1963 1964 1965
225596396,Linus Arnesson,Linus Ola Arnesson Född: 21 september 1994 Ishockeyspelare Position: back Längd: 187 cm Nummer: 8 Skjuter: vänster Moderklubb: Hanvikens SK Säsonger Matcher Mål Assist Poäng 2011/12 3 0 0 0 2012/13 31 0 1 1 2013/14 44 1 5 6 2014/15 41 0 5 5 2021/22 4
225596397,Jan Aronsson,Karl Gustaf Jan Aronsson Född: 28 november 1931 Fotbollsspelare Position: högerytter Moderklubb: Degerfors IF 1 säsong. 9 matcher. 2 mål. 1959 9 2
225596398,Mats Aronsson,Mats Olof Aronsson Född 16 augusti 1951 Fotbollsspelare Position: anfallare Moderklubb: Landskrona BoIS 2 säsonger. 33 matcher. 7 mål. 1981 19 2 1982 14 5
225596399,Ronnie Aronsson,Per Håkan Ronnie Aronsson Född: 14 juni 1961 Fotbollsspelare Position: anfallare Moderklubb: Djurgårdens IF 1 säsong. 5 matcher. 1 mål. 1981 5 1
225596400,Folke Arsjö,Folke Gustav Walter Arsjö Född: 19 februari 1903 Bandyspelare 2 säsonger. 1930 1931
225596401,Arne Arvidsson,Sven Arne Arvidsson Född: 19 januari 1929 Fotbollsspelare Position: målvakt Moderklubb: Långhyttans AIK 13 säsonger. 241 matcher. 0 mål. 1952/53 2 0 1953/54 22 0 1954/55 21 0 SM-guld. 1955/56 21 0 1956/57 20 0 1957/58 25 0 1959 22 0 SM-guld. 1960 22 
225596402,Jesper Arvidsson,John Jesper Arvidsson Född: 1 januari 1985 Fotbollsspelare Position: försvarare Moderklubb: Götene IF 3 säsonger. 61 matcher. 5 mål. 2013 15 0 2014 20 1 2015 26 4
225596403,Wilhelm Arwe,Karl Wilhelm Konrad Arwe Född: 28 januari 1898 SM guld: 1926 (ishockey) EM-guld: 1921 (ishockey) Stor grabb #6 ishockey Bandyspelare 2 säsonger 1930 1931 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1
225596404,Joel Asoro,Joel Joshghene Asoro Född: 27 april 1999 Fotbollsspelare Position: anfallare Längd: 175 cm Nummer: 10 Moderklubb: IFK Haninge 2021 26 3 2022 2023
225596405,Ted Attersand,James Ted Attersand Född: 6 april 1952 Ishockeyspelare Position: back Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1969/70 – – – –
225596406,Jonathan Augustinsson,Hans Oskar Jonathan Augustinsson Född: 30 mars 1996 Fotbollsspelare Position: vänsterback Nummer: 15 Moderklubb: IF Brommapojkarna 3 säsonger. 50 matcher. 1 mål. 2017 8 0 2018 26 1 2019 16 0
225596407,Alf Axberg,Alf Gustaf Axberg Född: 4 april 1914 Ishockeyspelare Position: forward Moderklubb: Djurgårdens IF Säsonger Matcher Mål Assist Poäng 1930/31 – – – – 1931/32 – – – – 1932/33 – – – – 1933/34 – – – –
225596408,Yosif Ayuba,Yosif Ayuba Född: 30 november 1990 Fotbollsspelare Position: Moderklubb: 2 säsonger. 15 matcher. 1 mål. 2009 11 1 2010 4 0
225596409,Ibrahim Ba,Ibrahim Ba Född: 12 november 1973 Fotbollsspelare Position: anfallare Moderklubb: Çaykur Rizespor K (Turkiet) 1 säsong. 14 matcher. 1 mål. 2005 14 1 SM-guld. Cupguld.
225596410,Tomas Backman,Tomas Olof Edvard Backman Född: 16 juni 1980 Fotbollsspelare Position: försvarare/mittfältare Moderklubb: Friska Viljor FC 1 säsong. 11 matcher. 1 mål. 2004 11 1
225596411,Aliou Badji,Aliou Badji Född: 10 oktober 1997 Fotbollsspelare Position: anfallare Nummer: 20 Moderklubb: Casa Sports (senegal) 2 säsonger. 48 matcher. 11 mål. 2017 20 3 2018 28 8
