#entry_id	catalog	external_id	external_url	name	description	entry_type	mnm_user_id	q	matched_on	matched_by_username	auxiliary_data	born	died	dates_in_wikidata	lat	lon	multi_match_candidates
281288042	7738	935	https://www.aikstats.se/player.php?id=935	Ivan Turina	Swedish association football player, played for AIK, Målvakt, active 2010-2013	Q5	4	Q542580	20260327210214	Auxiliary data matcher							
281288043	7738	1174	https://www.aikstats.se/player.php?id=1174	Patrik Carlgren	Swedish association football player, played for AIK, Målvakt, active 2013-2017	Q5	4	Q16632843	20260327210214	Auxiliary data matcher							
281288044	7738	338	https://www.aikstats.se/player.php?id=338	Ove "Järnkaminen" Karlsson	Swedish association football player, played for AIK, Vänsterback, active 1943-1948	Q5	4	Q2042244	20260327210214	Auxiliary data matcher							
281288045	7738	280	https://www.aikstats.se/player.php?id=280	Gustaf Josefsson	Swedish association football player, played for AIK, Högerytter, active ? - ?	Q5	4	Q10511062	20260327210214	Auxiliary data matcher							
281288046	7738	219	https://www.aikstats.se/player.php?id=219	Rune Bergström	Swedish association football player, played for AIK, Högerytter, active 1914-1926	Q5	4	Q5573569	20260327210214	Auxiliary data matcher							
281288047	7738	752	https://www.aikstats.se/player.php?id=752	Helge "Ekis" Ekroth	Swedish association football player, played for AIK, Forward, active 1910-1923	Q5	4	Q1403819	20260327210214	Auxiliary data matcher							
281288048	7738	668	https://www.aikstats.se/player.php?id=668	Iván Obolo	Swedish association football player, played for AIK, Forward, active 2007-2009	Q5	4	Q1380941	20260327210214	Auxiliary data matcher							
281288049	7738	807	https://www.aikstats.se/player.php?id=807	Daniel Gustavsson	Swedish association football player, played for AIK, , active 2009-2014	Q5	4	Q93731	20260327210214	Auxiliary data matcher							
281288050	7738	1178	https://www.aikstats.se/player.php?id=1178	Johan Blomberg	Swedish association football player, played for AIK, Mittfältare, active 2015-2018	Q5	4	Q14623196	20260327210214	Auxiliary data matcher							
281288051	7738	443	https://www.aikstats.se/player.php?id=443	Sören Häggström	Swedish association football player, played for AIK, Center, active 1960-1965	Q5											
281288052	7738	934	https://www.aikstats.se/player.php?id=934	Mohamed Bangura	Swedish association football player, played for AIK, Forward, active 2010-2016	Q5	4	Q716103	20260327210214	Auxiliary data matcher							
